user_id,persona,date,day_index,type,counterparty,amount_out,amount_in,fee,balance,seq
U0000_4a17e4,risky_irregular,2026-02-15,0,Cash Out,0173245342,310.49,0.0,3.21,1197.86,0
U0000_4a17e4,risky_irregular,2026-02-16,1,Cash Out,0118216761,1078.58,0.0,17.44,101.84,1
U0000_4a17e4,risky_irregular,2026-02-21,6,Send Money,0134689296,32.54,0.0,0.0,69.3,2
U0000_4a17e4,risky_irregular,2026-02-22,7,Cash In,0126417851,0.0,1259.23,0.0,1328.53,3
U0000_4a17e4,risky_irregular,2026-02-23,8,Cash Out,0140905106,749.27,0.0,13.79,565.47,4
U0000_4a17e4,risky_irregular,2026-03-02,15,Send Money,0120367337,228.64,0.0,5.0,331.83,5
U0000_4a17e4,risky_irregular,2026-03-02,15,Mobile Recharge,0142778142,100.0,0.0,0.0,231.83,6
U0000_4a17e4,risky_irregular,2026-03-02,15,Cash In,0183520502,0.0,1345.41,0.0,1577.24,7
U0000_4a17e4,risky_irregular,2026-03-02,15,Pay Bill,Bangladesh Power Development Board,1252.09,0.0,0.0,325.15,8
U0000_4a17e4,risky_irregular,2026-03-03,16,Mobile Recharge,0101082855,20.0,0.0,0.0,305.15,9
U0000_4a17e4,risky_irregular,2026-03-04,17,Payment,0183725577,305.15,0.0,0.0,0.0,10
U0000_4a17e4,risky_irregular,2026-03-04,17,Send Money,0149170311,0.0,0.0,0.0,0.0,11
U0000_4a17e4,risky_irregular,2026-03-06,19,Cash Out,0114931899,0.0,0.0,0.0,0.0,12
U0000_4a17e4,risky_irregular,2026-03-10,23,Cash In,0182705753,0.0,703.21,0.0,703.21,13
U0000_4a17e4,risky_irregular,2026-03-10,23,Send Money,0183462242,47.82,0.0,0.0,655.39,14
U0000_4a17e4,risky_irregular,2026-03-10,23,Cash Out,0171345668,222.05,0.0,2.89,430.45,15
U0000_4a17e4,risky_irregular,2026-03-10,23,Payment,0107188048,430.45,0.0,0.0,0.0,16
U0000_4a17e4,risky_irregular,2026-03-11,24,Send Money,0141360280,0.0,0.0,0.0,0.0,17
U0000_4a17e4,risky_irregular,2026-03-11,24,Cash Out,0113332053,0.0,0.0,0.0,0.0,18
U0000_4a17e4,risky_irregular,2026-03-12,25,Send Money,0126071014,0.0,0.0,0.0,0.0,19
U0000_4a17e4,risky_irregular,2026-03-12,25,Payment,0166519402,0.0,0.0,0.0,0.0,20
U0000_4a17e4,risky_irregular,2026-03-16,29,Payment,0191893454,0.0,0.0,0.0,0.0,21
U0000_4a17e4,risky_irregular,2026-03-16,29,Send Money,0141632191,0.0,0.0,0.0,0.0,22
U0000_4a17e4,risky_irregular,2026-03-21,34,Send Money,0188639897,0.0,0.0,0.0,0.0,23
U0000_4a17e4,risky_irregular,2026-03-21,34,Cash Out,0132635339,0.0,0.0,0.0,0.0,24
U0000_4a17e4,risky_irregular,2026-03-21,34,Send Money,0139382757,0.0,0.0,0.0,0.0,25
U0000_4a17e4,risky_irregular,2026-03-21,34,Mobile Recharge,0115169069,0.0,0.0,0.0,0.0,26
U0000_4a17e4,risky_irregular,2026-03-23,36,Cash Out,0139500371,0.0,0.0,0.0,0.0,27
U0000_4a17e4,risky_irregular,2026-03-23,36,Cash Out,0189388938,0.0,0.0,0.0,0.0,28
U0000_4a17e4,risky_irregular,2026-03-23,36,Send Money,0152529097,0.0,0.0,0.0,0.0,29
U0000_4a17e4,risky_irregular,2026-03-23,36,Payment,0181138542,0.0,0.0,0.0,0.0,30
U0000_4a17e4,risky_irregular,2026-03-25,38,Cash Out,0114118728,0.0,0.0,0.0,0.0,31
U0000_4a17e4,risky_irregular,2026-03-25,38,Cash Out,0154465166,0.0,0.0,0.0,0.0,32
U0000_4a17e4,risky_irregular,2026-03-25,38,Cash Out,0195924151,0.0,0.0,0.0,0.0,33
U0000_4a17e4,risky_irregular,2026-03-26,39,Cash In,0134920569,0.0,1411.99,0.0,1411.99,34
U0000_4a17e4,risky_irregular,2026-03-26,39,Cash Out,0184960275,1313.42,0.0,24.2,74.37,35
U0000_4a17e4,risky_irregular,2026-03-28,41,Send Money,0191200891,74.37,0.0,0.0,0.0,36
U0000_4a17e4,risky_irregular,2026-03-28,41,Payment,0174901923,0.0,0.0,0.0,0.0,37
U0000_4a17e4,risky_irregular,2026-03-31,44,Payment,0111758196,0.0,0.0,0.0,0.0,38
U0000_4a17e4,risky_irregular,2026-03-31,44,Send Money,0183598294,0.0,0.0,0.0,0.0,39
U0000_4a17e4,risky_irregular,2026-03-31,44,Cash Out,0171310705,0.0,0.0,0.0,0.0,40
U0000_4a17e4,risky_irregular,2026-03-31,44,Cash Out,0178229823,0.0,0.0,0.0,0.0,41
U0000_4a17e4,risky_irregular,2026-04-04,48,Cash Out,0190111539,0.0,0.0,0.0,0.0,42
U0000_4a17e4,risky_irregular,2026-04-04,48,Cash Out,0186686913,0.0,0.0,0.0,0.0,43
U0000_4a17e4,risky_irregular,2026-04-04,48,Cash In,0183371541,0.0,708.21,0.0,708.21,44
U0000_4a17e4,risky_irregular,2026-04-06,50,Pay Bill,0177917971,708.21,0.0,0.0,0.0,45
U0000_4a17e4,risky_irregular,2026-04-06,50,Cash In,0194290454,0.0,973.3,0.0,973.3,46
U0000_4a17e4,risky_irregular,2026-04-06,50,Send Money,0176605904,481.7,0.0,5.0,486.6,47
U0000_4a17e4,risky_irregular,2026-04-07,51,Send Money,0187794461,340.07,0.0,5.0,141.53,48
U0000_4a17e4,risky_irregular,2026-04-07,51,Send Money,0189973546,95.01,0.0,0.0,46.52,49
U0000_4a17e4,risky_irregular,2026-04-08,52,Pay Bill,0131313617,46.05,0.0,0.46,0.01,50
U0000_4a17e4,risky_irregular,2026-04-08,52,Send Money,0181213235,0.01,0.0,0.0,0.0,51
U0000_4a17e4,risky_irregular,2026-04-08,52,Mobile Recharge,0177374813,0.0,0.0,0.0,0.0,52
U0000_4a17e4,risky_irregular,2026-04-08,52,Send Money,0121044275,0.0,0.0,0.0,0.0,53
U0000_4a17e4,risky_irregular,2026-04-17,61,Send Money,0133112433,0.0,0.0,0.0,0.0,54
U0000_4a17e4,risky_irregular,2026-04-17,61,Mobile Recharge,0133104738,0.0,0.0,0.0,0.0,55
U0000_4a17e4,risky_irregular,2026-04-17,61,Mobile Recharge,0134660869,0.0,0.0,0.0,0.0,56
U0000_4a17e4,risky_irregular,2026-04-18,62,Mobile Recharge,0170705444,0.0,0.0,0.0,0.0,57
U0000_4a17e4,risky_irregular,2026-04-18,62,Cash Out,0191721708,0.0,0.0,0.0,0.0,58
U0000_4a17e4,risky_irregular,2026-04-22,66,Send Money,0188669439,0.0,0.0,0.0,0.0,59
U0000_4a17e4,risky_irregular,2026-04-22,66,Cash Out,0157408066,0.0,0.0,0.0,0.0,60
U0000_4a17e4,risky_irregular,2026-04-22,66,Cash In,0117126984,0.0,1279.97,0.0,1279.97,61
U0000_4a17e4,risky_irregular,2026-04-22,66,Pay Bill,Bangladesh Power Development Board,1279.97,0.0,0.0,0.0,62
U0000_4a17e4,risky_irregular,2026-04-24,68,Send Money,0126753788,0.0,0.0,0.0,0.0,63
U0000_4a17e4,risky_irregular,2026-04-24,68,Cash Out,0128578701,0.0,0.0,0.0,0.0,64
U0000_4a17e4,risky_irregular,2026-04-24,68,Send Money,0135444785,0.0,0.0,0.0,0.0,65
U0000_4a17e4,risky_irregular,2026-04-25,69,Payment,0129029707,0.0,0.0,0.0,0.0,66
U0000_4a17e4,risky_irregular,2026-04-25,69,Cash In,0144221729,0.0,944.6,0.0,944.6,67
U0000_4a17e4,risky_irregular,2026-04-25,69,Send Money,0121095492,227.16,0.0,5.0,712.44,68
U0000_4a17e4,risky_irregular,2026-04-26,70,Send Money,0184712396,112.3,0.0,5.0,595.14,69
U0000_4a17e4,risky_irregular,2026-04-26,70,Send Money,0185306576,44.06,0.0,0.0,551.08,70
U0000_4a17e4,risky_irregular,2026-04-27,71,Payment,0108159708,341.11,0.0,0.0,209.97,71
U0000_4a17e4,risky_irregular,2026-04-29,73,Send Money,0176555838,60.04,0.0,0.0,149.93,72
U0000_4a17e4,risky_irregular,2026-05-04,78,Send Money,0125713749,108.34,0.0,5.0,36.59,73
U0000_4a17e4,risky_irregular,2026-05-04,78,Payment,0136640920,36.59,0.0,0.0,0.0,74
U0000_4a17e4,risky_irregular,2026-05-04,78,Payment,0163694873,0.0,0.0,0.0,0.0,75
U0000_4a17e4,risky_irregular,2026-05-04,78,Send Money,0198904297,0.0,0.0,0.0,0.0,76
U0000_4a17e4,risky_irregular,2026-05-09,83,Send Money,0157083498,0.0,0.0,0.0,0.0,77
U0000_4a17e4,risky_irregular,2026-05-09,83,Send Money,0107822554,0.0,0.0,0.0,0.0,78
U0000_4a17e4,risky_irregular,2026-05-11,85,Send Money,0147163795,0.0,0.0,0.0,0.0,79
U0000_4a17e4,risky_irregular,2026-05-11,85,Send Money,0108880395,0.0,0.0,0.0,0.0,80
U0000_4a17e4,risky_irregular,2026-05-11,85,Remittance Received,0183812210,0.0,1436.41,0.0,1436.41,81
